Section,Item Type,Exp #,Experiment/Kit Name,Week(s),Unit,Standards,Key Concepts,Materials Needed,Cost,Vendor,SKU,Product URL,Procedure Summary,Variables Tested,Learning Goals,Safety Notes,Cross-Curricular Connections,Special Notes
EXPERIMENTS,Experiment,11,Radioactive Decay M&M Lab,29,Earth Science,SC.7.E.6.3,"Half-life, radioactive dating","M&Ms (2 bags), Cups with lids, Graph paper",$10,Local Store,N/A,N/A,"1) M&Ms with 'M' up = undecayed atoms. 2) Shake cup, remove all M&Ms with 'M' down (decayed). 3) Count remaining undecayed atoms. 4) Return undecayed atoms to cup. 5) Repeat for 8-10 half-lives. 6) Graph: Number of undecayed atoms vs. half-life number. Observe exponential decay curve.","Independent: Number of half-lives, Dependent: Number of undecayed atoms remaining","Understand half-life concept, Observe exponential decay, Apply to radioactive dating of rocks",None - food-safe activity.,"Math: Exponential decay, graphing, calculating half-lives. Statistics: Probability.",This models Carbon-14 dating used by archaeologists and geologists
EXPERIMENTS,Experiment,12,Graham Cracker Plate Tectonics,33-35,Earth Science,SC.7.E.6.5,"Plate boundaries, tectonic movement","Graham crackers, Frosting (represents asthenosphere), Paper plates",$15-20,Local Store,N/A,N/A,"Spread frosting on plate (=asthenosphere). Place graham crackers on top (=tectonic plates). Model three boundary types: 1) DIVERGENT: Pull crackers apart slowly (rift valley forms). 2) CONVERGENT: Push together (subduction or mountain building). 3) TRANSFORM: Slide past each other (earthquakes!).","N/A - physical model of tectonic processes","Understand three types of plate boundaries, Visualize plate movement on asthenosphere, Connect to real earthquakes/volcanoes",Standard food safety precautions.,"Geography: World plate boundaries. Current events: Recent earthquakes.",Frosting must be soft enough to allow crackers to move smoothly
EXPERIMENTS,Experiment,13,Volcano Construction & Eruption,35,Earth Science,"SC.7.E.6.5, SC.7.E.6.7","Volcanic eruptions, plate tectonics","Plaster of Paris or clay, Small bottle, Baking soda, Vinegar, Food coloring, Dish soap",$20-25,Local Store,N/A,N/A,"Build volcano structure around small bottle using plaster or clay. Place baking soda and dish soap inside bottle. Add food coloring for lava effect. Pour in vinegar to trigger eruption reaction. Observe gas production and 'lava' flow.","Independent: Amount of reactants, Dependent: Eruption intensity and duration","Understand chemical reactions, Model volcanic eruptions, Connect to plate tectonic activity",Vinegar can irritate eyes - goggles required. Keep hands away from erupting volcano.,"Chemistry: Acid-base reactions, gas production. Geography: Ring of Fire volcanoes.","Can use materials from Beneath Our Feet Kit (Home Science Tools SU-BENEAT, $49.95)"
EXPERIMENTS,Experiment,14,Convection Current Demonstration,39-41,Earth Science,SC.7.E.6.7,"Mantle convection, heat flow","Clear container (aquarium or large beaker), Hot plate, Ice cubes, Food coloring, Water",$30-40,Local Store,N/A,N/A,"Fill clear container with cold water. Heat separate container of water on hot plate. Add food coloring to hot water. Carefully pour hot colored water into one corner of container. Add ice cubes to opposite corner. Observe convection currents as hot water rises and cold water sinks.","Independent: Temperature differences, Dependent: Water movement patterns (convection)","Visualize convection currents, Understand heat transfer in fluids, Apply to mantle convection driving plate tectonics",Hot water can burn - teacher handles hot plate. Glass containers can break.,"Physics: Heat transfer, convection. Earth Science: Mantle dynamics.","This demonstrates how Earth's mantle convection drives plate movement"
EXPERIMENTS,Experiment,15,Electromagnetic Spectrum Chart,43-44,Physical Science,SC.7.P.10.1,"EM spectrum, wavelength","UV beads, Poster board, Markers, Sunscreen, UV flashlight",$25-30,Local Store,N/A,N/A,"Create poster showing EM spectrum from radio waves to gamma rays. Test UV beads: 1) In sunlight (beads change color). 2) In shade (no change). 3) Through window (partial change). 4) With sunscreen coating (reduced change). Discuss invisible UV radiation and protection.","Independent: UV exposure (sunlight, shade, window, sunscreen), Dependent: UV bead color change","Understand EM spectrum organization, Recognize invisible radiation (UV), Apply to sun safety",UV exposure - limit direct sunlight time. Sunscreen testing only.,"Health: Sun safety, skin cancer prevention. Art: Rainbow spectrum colors.",UV beads provide visible proof of invisible UV radiation
EXPERIMENTS,Experiment,16,Prism Light Separation,45,Physical Science,SC.7.P.10.1,"Visible spectrum, refraction","Laser Ray Box Kit OR individual prisms, White screen or paper, Rulers/protractors","Included in Kit ($110)",Arbor Scientific,P2-7680,https://www.arborsci.com/products/laser-ray-box-and-lenses,"Shine white light through prism onto white screen. Observe rainbow spectrum (ROYGBIV). Measure: 1) Angle of incidence (light entering prism). 2) Angles of refraction for different colors. 3) Spectrum separation distance. Note: violet bends most, red bends least.","Independent: Light wavelength (color), Dependent: Refraction angle (amount of bending)","Observe light dispersion, Understand refraction varies by wavelength, Measure angles precisely",Never look directly into laser beam!,"Math: Measuring angles, Snell's Law. Art: Color spectrum, rainbows in nature.","Laser Ray Box Kit includes prism, lenses, mirrors, and activity mat with pre-marked angles"
EXPERIMENTS,Experiment,17,Solar Oven Construction,46,Physical Science,SC.7.P.10.1,"Solar radiation, energy absorption","Pizza boxes, Aluminum foil, Plastic wrap, Black paper, Tape, Thermometers, S'mores materials!",$30-40,Local Store,N/A,N/A,"Build solar oven: 1) Cut flap in pizza box lid. 2) Line flap with foil (reflector). 3) Line box bottom with black paper (absorber). 4) Cover opening with plastic wrap. 5) Angle toward sun. 6) Measure temperature inside. 7) Cook s'mores! Test: Effect of reflector angle on temperature.","Independent: Reflector angle, Dependent: Interior temperature and cooking time","Understand solar radiation energy, Apply reflection and absorption principles, Engineering design process",Hot oven - don't touch interior. Food safety with s'mores.,"Engineering: Solar cooker design. Environmental Science: Renewable energy. Math: Temperature measurements.","Best results: sunny day, optimize angle toward sun (test 30°, 45°, 60° angles)"
EXPERIMENTS,Experiment,18,Wave Speed in Different Media,47-50,Physical Science,SC.7.P.10.3,"Wave propagation, medium effects","Stopwatch, Tuning forks, Metal rods, Water, Measuring tape",$40-50,Local Store,N/A,N/A,"Measure sound wave speed in different media: 1) AIR: Clap hands at known distance, measure time for echo. 2) WATER: Strike tuning fork, submerge in water, listen. 3) SOLID: Strike metal rod on one end, listen at other end. Calculate speed = distance ÷ time. Compare results.","Independent: Medium type (air, water, solid), Dependent: Wave speed (how fast sound travels)","Understand waves travel at different speeds in different media, Practice timing and calculations, Discover sound travels fastest in solids",Loud sounds can damage hearing - use moderate volumes.,"Math: Calculate speed using v=d/t. Physics: Sound wave properties.","Speed of sound: Air ≈340 m/s, Water ≈1,480 m/s, Steel ≈5,000 m/s (solids fastest!)"
EXPERIMENTS,Experiment,19,Slinky Wave Lab,48-49,Physical Science,SC.7.P.10.3,"Wavelength, frequency, amplitude","Super Size Wave Spring, Meter sticks, Stopwatch",$18.65,Educational Innovations,SPR-210,https://www.teachersource.com/product/super-size-wave-spring,"1) Create TRANSVERSE waves: Move slinky side-to-side. Measure wavelength (crest to crest). Count frequency (waves per second). 2) Create LONGITUDINAL waves: Push-pull along slinky length. Observe compression and rarefaction. 3) Calculate wave speed: v = frequency × wavelength.","Independent: Wave type and frequency, Dependent: Wavelength and speed","Distinguish transverse vs longitudinal waves, Measure wavelength and frequency, Apply wave equation v=fλ",Keep slinky away from small children - pinch hazard.,"Math: Wave speed calculations v=fλ. Physics: Types of waves (sound=longitudinal, light=transverse).","Super Size Wave Spring stretches to 10 meters! 75mm diameter, 152mm length when compressed"
EXPERIMENTS,Experiment,20,Ice Melting Race,51-54,Physical Science,SC.7.P.11.1,"Heat transfer, phase changes","Ice cubes (uniform size), Various containers, Thermometers, Different materials (metal, plastic, wood), Stopwatch",$25-30,Local Store,N/A,N/A,"Place identical ice cubes in different conditions: 1) Different container materials (metal, plastic, wood). 2) With/without insulation. 3) Different surface areas. 4) Different initial temperatures. Time how long each takes to melt completely. Measure temperature changes.","Independent: Container material, insulation, surface area, initial temp, Dependent: Melting time and rate","Understand heat transfer mechanisms, Test insulation effectiveness, Observe phase change (solid to liquid)",Water spills - slip hazard. Clean immediately.,"Math: Calculate melting rate (grams/minute). Chemistry: Latent heat of fusion.",Metal containers conduct heat fastest - ice melts quickest. Insulation slows melting.
EXPERIMENTS,Experiment,21,Phase Change Graphing Lab,52-53,Physical Science,SC.7.P.11.1,"Heating curves, latent heat","Hot plate, Ice, Thermometer, Beaker, Stopwatch, Graph paper",$30-40,Local Store,N/A,N/A,"Start with ice below 0°C. Heat continuously on hot plate. Record temperature every 30 seconds. Continue until water boils and produces steam. Graph temperature vs. time. Identify five stages: 1) Ice warming (-20°C to 0°C). 2) Ice melting (plateaus at 0°C). 3) Water warming (0°C to 100°C). 4) Water boiling (plateaus at 100°C). 5) Steam formation.","Independent: Heat energy added (constant rate), Dependent: Temperature and state of matter","Understand heating curves, Identify phase change plateaus (latent heat), Observe that temperature doesn't change during phase transitions",Hot plate causes burns - teacher supervision required. Steam can burn.,"Math: Graphing, interpreting plateaus. Chemistry: Phase changes, states of matter.","Plateaus occur because energy goes into breaking bonds (not increasing temperature) during phase changes"
EXPERIMENTS,Experiment,22,Energy Transformation Rube Goldberg,55-58,Physical Science,SC.7.P.11.2,Energy transformations,"Marbles, Dominoes, Ramps (books/cardboard), Pulleys, String, Mousetrap, Cup, Various household items",$30-50,Local Store,N/A,N/A,"Design and build a Rube Goldberg machine with at least 5 steps that demonstrate energy transformations: Potential→Kinetic (marble rolls down ramp), Kinetic→Sound (marble hits dominoes), Mechanical→Thermal (friction), Elastic→Kinetic (mousetrap springs). Document each transformation.","N/A - engineering design project","Identify multiple energy transformations, Apply engineering design process, Understand energy conservation",Falling objects - keep fingers clear. Mousetrap can pinch.,"Engineering: Machine design. Physics: Energy types and transformations. Art: Creative construction.","Challenge: Create longest chain reaction with most energy transformations while accomplishing a simple task"
EXPERIMENTS,Experiment,23,Energy Conservation Roller Coaster,59-61,Physical Science,SC.7.P.11.3,"Conservation of energy, PE ↔ KE","Foam pipe insulation, Marbles, Tape, Meter sticks, Stopwatch",$20-25,Local Store,N/A,N/A,"Build roller coaster track using foam pipe insulation. Release marble from known height. Measure: 1) Initial height h₁. 2) Final height h₂ at different points. 3) Velocity at bottom (time to travel known distance). Calculate: PE at top = mgh₁. KE at bottom = ½mv². Verify energy conservation: PE lost ≈ KE gained.","Independent: Starting height, Dependent: Final height and velocity (energy)","Understand conservation of energy, Practice PE and KE calculations, Apply to real roller coasters",Marbles can roll everywhere - control area.,"Math: Calculate PE=mgh and KE=½mv². Physics: Energy conservation.","Energy 'lost' to friction (heat) and sound - total energy IS conserved but some becomes unusable"
EXPERIMENTS,Experiment,24,Heat Transfer Station Lab,62-64,Physical Science,SC.7.P.11.4,"Conduction, convection, radiation","Conduction, Convection, Radiation Kit - see kit recommendations",$91.84,Flinn Scientific,AP7183,https://www.flinnsci.com/conduction-convection-and-radiation---activity-stations-kit/ap7183/,"Station 1 - CONDUCTION: Metal vs. wood spoons in hot water. Which conducts heat faster? Station 2 - CONVECTION (liquid): Food coloring in hot/cold water. Watch convection currents. Station 3 - CONVECTION (gas): Candle under spinning spiral. Rising hot air makes spiral spin. Station 4 - RADIATION: Black vs. white sand under heat lamp. Which absorbs more radiant energy?","Independent: Material type and color, Dependent: Heat transfer rate and temperature change","Distinguish three heat transfer methods, Observe each method in action, Apply to real-world situations (home insulation, etc.)",Hot water and heat lamps cause burns - supervision required. Candles are fire hazard.,"Physics: Heat transfer. Engineering: Insulation design. Earth Science: Atmospheric convection.","Complete kit includes materials for 4 stations and 12 student groups. Teacher notes and student worksheets included."
EXPERIMENTS,Experiment,25,Insulation Challenge,64,Physical Science,SC.7.P.11.4,"Heat transfer, insulation","Ice cubes, Various insulating materials (cotton, foam, bubble wrap, newspaper), Thermometers, Containers, Timer",$25-30,Local Store,N/A,N/A,"Engineering design challenge: Design a container that keeps an ice cube frozen longest. Test different insulating materials. Rules: Standard-size container, same ice cube size, room temperature environment. Measure: Time until complete melting OR temperature inside after 30 minutes. Compare insulation effectiveness.","Independent: Insulation material and design, Dependent: Melting time or temperature change","Apply heat transfer knowledge to engineering, Test insulation effectiveness, Use engineering design process",Water spills from melting ice.,"Engineering: Design process (plan, build, test, improve). Math: Comparing melting rates.","Best insulators: Air pockets trap heat. Multiple layers better than single thick layer. Reflective surfaces help."
EXPERIMENTS,Experiment,26,DNA Extraction from Strawberries,65-66,Life Science,SC.7.L.16.1,"DNA structure, extraction","DNA Kit + Additional strawberries",$34.95 + $5,Home Science Tools,KT-DNAKIT,https://www.homesciencetools.com/product/dna-and-genetic-inheritance-exploration-kit/,"1) Mash strawberries with salt water and dish soap (breaks cell membranes). 2) Filter mashed mixture through coffee filter. 3) Pour filtered liquid into test tube. 4) Carefully layer cold 95% ethyl alcohol on top. 5) DNA precipitates as white stringy substance at alcohol-water interface. 6) Spool DNA on stick. View under microscope.","N/A - extraction procedure, not hypothesis-testing experiment","Understand DNA structure, Extract real DNA (hands-on!), Visualize genetic material, Understand cell structure",95% ethanol is flammable - no open flames! Handle carefully.,"Chemistry: Organic molecules, DNA structure. Biology: Cell structure and function.","Ships to US only. Kit includes extraction materials, test tubes, gloves, coffee filters. Strawberries have 8 copies of each chromosome (octoploid) - lots of DNA!"
EXPERIMENTS,Experiment,27,Build-a-DNA Model,66,Life Science,SC.7.L.16.1,"DNA structure, base pairing","Clay sticks from DNA Kit OR Licorice, Marshmallows, Toothpicks","Included in kit OR $15-20",Home Science Tools,KT-DNAKIT,https://www.homesciencetools.com/product/dna-and-genetic-inheritance-exploration-kit/,"Build 3D DNA model: 1) Licorice sticks = sugar-phosphate backbone. 2) Marshmallows = nitrogenous bases (4 colors for A, T, C, G). 3) Toothpicks = hydrogen bonds connecting bases. 4) Connect bases following base-pairing rules: A pairs with T, C pairs with G. 5) Twist into double helix shape. Count how many base pairs in your model.","N/A - physical model construction","Understand DNA double helix structure, Learn base-pairing rules (A-T, C-G), Visualize complementary strands",Standard food safety if using candy model.,"Chemistry: Molecular structure. Art: 3D modeling. Math: Counting base pairs.","Base-pairing rules are key to DNA replication and protein synthesis. DNA Kit includes clay sticks pre-colored for modeling."
EXPERIMENTS,Experiment,28,Punnett Square Manipulatives Lab,67-68,Life Science,SC.7.L.16.2,"Probability, genotype, phenotype","Colored beads or beans (2 colors), Bags (represent parents), Data recording sheets",$15-20,Local Store,N/A,N/A,"Simulate genetic crosses using beads: 1) Red bead = dominant allele (R). White bead = recessive allele (r). 2) Each parent bag contains 2 beads (genotype). 3) Draw one bead from each parent bag (simulates fertilization). 4) Record offspring genotype. 5) Return beads, repeat 50-100 times. 6) Calculate actual ratios vs. Punnett square predictions (3:1 for Rr × Rr).","Independent: Parent genotypes, Dependent: Offspring genotype and phenotype ratios","Understand probability in genetics, Use Punnett squares, Compare predicted vs actual ratios, Recognize role of chance",None - manipulatives only.,"Math: Probability, ratios (3:1, 9:3:3:1). Statistics: Comparing predicted vs observed.","Large sample size (50-100 trials) gives ratios closer to predictions. Small samples show more variation."
EXPERIMENTS,Experiment,29,Human Trait Survey,67-68,Life Science,SC.7.L.16.2,"Inherited traits, genetics","Survey sheets, Hand mirrors, Rulers","Free - $5",Local Store,N/A,N/A,"Survey class for inherited traits: 1) Tongue rolling (can you roll tongue into U-shape?). 2) Earlobes (attached vs. free). 3) Widow's peak hairline. 4) Hitchhiker's thumb. 5) PTC tasting (bitter chemical - genetic!). 6) Eye color. Tally results for each trait. Calculate allele frequencies. Create class pedigree charts.","Independent: Genetic inheritance from parents, Dependent: Observable phenotypes in class","Recognize inherited human traits, Calculate allele frequencies, Understand dominant vs recessive, Create pedigrees",Respect privacy - some students may not want to share traits.,"Math: Calculate percentages and frequencies. Social Studies: Family history, ancestry.","PTC tasting strips available from Carolina Biological. About 70% of people can taste PTC (dominant allele)."
EXPERIMENTS,Experiment,30,Mitosis vs. Meiosis Modeling,69-70,Life Science,SC.7.L.16.3,"Cell division, chromosome behavior","Pipe cleaners (represent chromosomes), String, Paper plates (represent cells), Markers",$15-20,Local Store,N/A,N/A,"Use pipe cleaners as chromosomes (different colors for maternal/paternal). Paper plates = cells. Model both processes: MITOSIS: 1 cell → 2 identical daughter cells (same # chromosomes). MEIOSIS: 1 cell → 4 unique gametes (half # chromosomes). Act out crossing over during meiosis. Compare genetic outcomes.","N/A - physical modeling of biological processes","Understand cell division differences, Visualize chromosome behavior, Explain why sexual reproduction creates variation",None - craft materials only.,"Math: Counting chromosome numbers (2n vs n). Biology: Reproduction, genetics.","Mitosis = body cell division (growth/repair). Meiosis = sex cell formation (gametes with half the chromosomes)."
EXPERIMENTS,Experiment,31,Fast Plants Genetics,67-70,Life Science,"SC.7.L.16.2, SC.7.L.16.3","Mendelian genetics, F1/F2 generations","Wisconsin Fast Plants seeds, Grow lights, Fertilizer pellets, Watering system",$75-125,Carolina Biological,Various,https://www.carolina.com/ (search Fast Plants),"40-day project: Week 1: Plant P generation (parent plants). Week 3-4: Cross-pollinate flowers by hand. Week 5: Collect F1 generation seeds. Week 6: Plant F1 seeds. Week 9: Observe F2 phenotypes (flower color, stem height, leaf shape). Calculate observed ratios (3:1 or 9:3:3:1). Compare to Punnett square predictions.","Independent: Parent genotypes (which plants crossed), Dependent: F2 offspring phenotype ratios","Observe real Mendelian genetics, Practice cross-pollination, Calculate genetic ratios, Patience for long-term project!",Handle plants gently. Grow lights get hot.,"Math: Genetic ratios, Chi-square test. Biology: Plant reproduction, life cycles.","Fast Plants complete life cycle in 40 days (developed by University of Wisconsin). Perfect for observing multiple generations in one semester!"
EXPERIMENTS,Experiment,32,Edible DNA Extraction & GMO Discussion,71-72,Life Science,SC.7.L.16.4,"Biotechnology, genetic engineering","Various foods (strawberries, bananas, tomatoes), DNA extraction supplies (from Kit #7)","Kit + $10 for food",Home Science Tools,KT-DNAKIT,https://www.homesciencetools.com/product/dna-and-genetic-inheritance-exploration-kit/,"Extract DNA from different foods using same procedure as Experiment 26. Compare: 1) Which foods have most DNA visible? 2) Research: Which are GMO (genetically modified)? Which are traditionally bred? 3) Class discussion: Benefits and risks of GMOs. 4) Debate ethical considerations. 5) Research modern biotechnology applications (medicine, agriculture).","N/A - discussion and ethics activity, not controlled experiment","Understand genetic engineering vs traditional breeding, Discuss GMO ethics, Apply DNA knowledge to real-world issues",Standard lab safety with chemicals.,"Social Studies: GMO regulations and labeling. ELA: Debate, persuasive writing. Ethics: Biotechnology considerations.","Most grocery store foods have been genetically modified through traditional breeding for thousands of years. Modern GMOs use direct gene transfer."
EXPERIMENTS,Experiment,33,Fossil Timeline Activity,73-74,Life Science,"SC.7.L.15.1, SC.7.E.6.4","Deep time, evolution timeline","Long rope or string (10-20 meters), Index cards, Markers, Tape",$10-15,Local Store,N/A,N/A,"Create timeline of Earth's history using rope stretched across classroom/hallway. Scale: 1 meter = 500 million years. Mark major events: 1) Earth formation (4.6 billion years ago = 0m). 2) First life (3.5 bya = 2.2m). 3) Oxygen atmosphere (2.5 bya = 4.2m). 4) First animals (600 mya = 8m). 5) Dinosaurs (230-65 mya = 8.7-9.1m). 6) Humans (200,000 ya = last 0.2mm!). Emphasize deep time.","N/A - visualization of geological time","Understand vast geological timescales, Visualize human history in context, Practice scale modeling",Long rope across classroom - trip hazard.,"Math: Scale calculations, ratios. History: Earth's history, evolution.","Humans appear in last 0.04% of Earth's history! If Earth's history were 24 hours, humans appear in last 4 seconds."
EXPERIMENTS,Experiment,34,Comparative Anatomy Lab,74,Life Science,SC.7.L.15.1,"Homologous structures, evolution","Printed skeletal diagrams OR Chicken wing dissection, Comparison charts","Free - $20",Local Store,N/A,N/A,"Compare limb structures across vertebrates: 1) Human arm. 2) Bat wing. 3) Whale flipper. 4) Cat leg. 5) Bird wing. Identify HOMOLOGOUS STRUCTURES (same bones, different functions). Label: humerus, radius/ulna, carpals, metacarpals, phalanges. Discuss: Why same bones? Evidence for common ancestor!","N/A - comparative analysis, not experiment","Understand homologous structures as evidence of evolution, Compare anatomy across species, Identify vestigial structures","If doing chicken wing dissection: sharp tools, raw meat safety, proper disposal.","Biology: Comparative anatomy. Art: Detailed sketches of bone structures.","Homologous structures = same origin, different function (evidence of common ancestor). Analogous structures = different origin, same function (convergent evolution)."
